vars,Mean,SD,Median,Min,Max,Skewness,Kurtosis,SE,Shapiro-Wilk test
BB,0.03,0.33,0.00,0.00,5.80,14.43,228.44,0.02,***
BLB,113.64,178.34,0.00,0.00,886.67,1.86,2.93,8.38,***
BLS,4.94,28.26,0.00,0.00,444.48,10.35,138.48,1.33,***
BS,147.54,386.19,0.00,0.00,2999.42,5.09,30.22,18.14,***
DH,3.18,5.62,0.00,0.00,32.33,2.49,6.50,0.26,***
DP,3.54,12.39,0.00,0.00,101.62,5.70,36.17,0.58,***
FS,2.41,6.61,0.00,0.00,35.74,2.90,7.35,0.31,***
GS,0.02,0.26,0.00,0.00,5.10,17.38,317.16,0.01,***
HB,0.41,1.13,0.00,0.00,9.80,4.18,22.02,0.05,***
LB,17.06,38.50,0.00,0.00,226.21,2.79,8.43,1.81,***
LF,114.48,156.86,76.74,0.00,1180.29,3.94,18.95,7.37,***
LM,2.93,14.33,0.00,0.00,160.47,7.63,68.27,0.67,***
LS,3.13,22.06,0.00,0.00,302.08,9.82,110.91,1.04,***
NB,0.60,2.14,0.00,0.00,19.32,5.69,38.72,0.10,***
NBS,53.98,178.50,0.00,0.00,2213.54,6.49,58.95,8.39,***
PM,0.23,2.51,0.00,0.00,44.42,14.35,229.31,0.12,***
RB,0.53,3.08,0.00,0.00,40.98,8.52,87.20,0.14,***
RGS,0.01,0.16,0.00,0.00,3.40,21.02,445.24,0.01,***
RH,3.18,5.62,0.00,0.00,32.33,2.49,6.50,0.26,***
RS,8.14,31.13,0.00,0.00,336.71,5.32,37.10,1.46,***
RT,1.47,4.02,0.00,0.00,41.56,4.90,32.92,0.19,***
RTG,0.01,0.18,0.00,0.00,3.80,21.28,453.00,0.01,***
RTH,9.01,34.69,0.00,0.00,470.55,7.52,79.09,1.63,***
SHB,11.67,15.49,4.72,0.00,68.65,1.60,2.08,0.73,***
SHR,0.66,2.23,0.00,0.00,17.41,4.24,19.76,0.10,***
SR,0.00,0.07,0.00,0.00,1.39,21.28,453.00,0.00,***
SS,1.40,4.91,0.00,0.00,46.01,4.47,24.33,0.23,***
WH,3.53,5.18,1.67,0.00,36.64,2.36,7.45,0.24,***
WM,36.72,71.63,0.00,0.00,583.41,3.84,21.16,3.37,***